Time; Serial.print output 
t; x; y; theta
53322150.636000; -0.37; 1.69; 0.48
53338783.132000; -0.37; 1.69; 0.48
53355271.824000; -0.37; 1.69; 0.48
53371503.156000; -0.37; 1.69; 0.48
53386110.168000; -0.37; 1.69; 0.48
53402160.778000; -0.37; 1.69; 0.48
53418141.279000; -0.37; 1.69; 0.48
53435102.566000; -0.37; 1.69; 0.48
53451081.991000; -0.37; 1.69; 0.48
53466162.796000; -0.37; 1.69; 0.48
53482885.881000; -0.37; 1.69; 0.48
53499567.060000; -0.37; 1.69; 0.48
53514166.194000; -0.37; 1.69; 0.48
53531093.942000; -0.37; 1.69; 0.48
53546150.664000; -0.37; 1.69; 0.48
53562484.410000; -0.37; 1.69; 0.48
53578752.606000; -0.37; 1.69; 0.48
53595532.168000; -0.37; 1.69; 0.48
53611928.053000; -0.37; 1.69; 0.48
53626166.154000; -0.37; 1.69; 0.48
53642245.248000; -0.37; 1.69; 0.48
53659930.053000; -0.37; 1.69; 0.48
53674163.428000; -0.37; 1.69; 0.48
53690542.362000; -0.37; 1.69; 0.48
53706950.810000; -0.37; 1.69; 0.48
53723259.725000; -0.37; 1.69; 0.48
53739857.518000; -0.37; 1.69; 0.48
53754176.265000; -0.37; 1.69; 0.48
53770666.519000; -0.37; 1.69; 0.48
53787157.014000; -0.37; 1.69; 0.48
53804175.465000; -0.37; 1.69; 0.48
53818121.318000; -0.37; 1.69; 0.48
53834661.569000; -0.37; 1.69; 0.48
53850506.457000; -0.37; 1.69; 0.48
53869735.237000; -0.37; 1.69; 0.48
53882680.136000; -0.37; 1.69; 0.48
53898147.588000; -0.37; 1.69; 0.48
53916057.800000; -0.37; 1.69; 0.48
53932382.325000; -0.37; 1.69; 0.48
53946984.571000; -0.37; 1.69; 0.48
53963238.435000; -0.37; 1.69; 0.48
53980719.000000; -0.37; 1.69; 0.48
53994478.145000; -0.37; 1.69; 0.48
54010782.584000; -0.37; 1.69; 0.48
54026338.499000; -0.37; 1.69; 0.48
54043080.362000; -0.37; 1.69; 0.48
54059261.571000; -0.37; 1.69; 0.48
54074151.488000; -0.37; 1.69; 0.48
54091014.909000; -0.37; 1.69; 0.48
54107697.906000; -0.37; 1.69; 0.48
54122119.745000; -0.37; 1.69; 0.48
54138140.107000; -0.37; 1.69; 0.48
54154346.554000; -0.37; 1.69; 0.48
54170988.904000; -0.37; 1.69; 0.48
54187903.186000; -0.37; 1.69; 0.48
54202146.201000; -0.37; 1.69; 0.48
54219569.551000; -0.37; 1.69; 0.48
54235660.235000; -0.37; 1.69; 0.48
54251685.428000; -0.37; 1.69; 0.48
54268312.101000; -0.37; 1.69; 0.48
54282270.370000; -0.37; 1.69; 0.48
54300220.363000; -0.37; 1.69; 0.48
54314268.337000; -0.37; 1.69; 0.48
54331581.709000; -0.37; 1.69; 0.48
54346181.848000; -0.37; 1.69; 0.48
54362850.121000; -0.37; 1.69; 0.48
54380084.890000; -0.37; 1.69; 0.48
54394185.358000; -0.37; 1.69; 0.48
54412118.215000; -0.37; 1.69; 0.48
54428068.669000; -0.37; 1.69; 0.48
54442351.894000; -0.37; 1.69; 0.48
54459439.434000; -0.37; 1.69; 0.48
54476407.909000; -0.37; 1.69; 0.48
54490171.447000; -0.37; 1.69; 0.48
54507504.856000; -0.37; 1.69; 0.48
54524376.293000; -0.37; 1.69; 0.48
54538186.789000; -0.37; 1.69; 0.48
54556617.832000; -0.37; 1.69; 0.48
54570097.899000; -0.37; 1.69; 0.48
54586633.221000; -0.37; 1.69; 0.48
54602728.560000; -0.37; 1.69; 0.48
54618916.426000; -0.37; 1.69; 0.48
54634140.625000; -0.37; 1.69; 0.48
54650514.495000; -0.37; 1.69; 0.48
54667796.314000; -0.37; 1.69; 0.48
54683534.071000; -0.37; 1.69; 0.48
54698146.061000; -0.37; 1.69; 0.48
54715301.537000; -0.37; 1.69; 0.48
54731778.665000; -0.37; 1.69; 0.48
54747611.786000; -0.37; 1.69; 0.48
54762155.032000; -0.37; 1.69; 0.48
54778206.395000; -0.37; 1.69; 0.48
54795805.093000; -0.37; 1.69; 0.48
54812136.258000; -0.37; 1.69; 0.48
54828917.222000; -0.37; 1.69; 0.48
54842535.814000; -0.37; 1.69; 0.48
54859286.609000; -0.37; 1.69; 0.48
54875261.216000; -0.37; 1.69; 0.48
54891857.099000; -0.37; 1.69; 0.48
54906597.441000; -0.37; 1.69; 0.48
54922570.656000; -0.37; 1.69; 0.48
54938233.898000; -0.37; 1.69; 0.48
54955524.733000; -0.37; 1.69; 0.48
54970202.995000; -0.37; 1.69; 0.48
54986242.459000; -0.37; 1.69; 0.48
55003145.723000; -0.37; 1.69; 0.48
55019543.133000; -0.37; 1.69; 0.48
55034153.550000; -0.37; 1.69; 0.48
55051556.367000; -0.37; 1.69; 0.48
55068208.169000; -0.37; 1.69; 0.48
55082136.143000; -0.37; 1.69; 0.48
55100154.962000; -0.37; 1.69; 0.48
55114245.541000; -0.37; 1.69; 0.48
55130688.430000; -0.37; 1.69; 0.48
55147036.549000; -0.37; 1.69; 0.48
55164654.084000; -0.37; 1.69; 0.48
55178709.203000; -0.37; 1.69; 0.48
55195227.309000; -0.37; 1.69; 0.48
55211279.687000; -0.37; 1.69; 0.48
55226885.184000; -0.37; 1.69; 0.48
55244386.476000; -0.37; 1.69; 0.48
55258166.990000; -0.37; 1.69; 0.48
55274729.675000; -0.37; 1.69; 0.48
55291678.513000; -0.37; 1.69; 0.48
55306296.904000; -0.37; 1.69; 0.48
55322150.242000; -0.37; 1.69; 0.48
55338972.154000; -0.37; 1.69; 0.48
55356501.620000; -0.37; 1.69; 0.48
55370203.291000; -0.37; 1.69; 0.48
55387466.263000; -0.37; 1.69; 0.48
55402151.611000; -0.37; 1.69; 0.48
55419509.758000; -0.37; 1.69; 0.48
55434141.764000; -0.37; 1.69; 0.48
55452361.630000; -0.37; 1.69; 0.48
55466477.290000; -0.37; 1.69; 0.48
55483734.973000; -0.37; 1.69; 0.48
55500256.427000; -0.37; 1.69; 0.48
55514163.903000; -0.37; 1.69; 0.48
55530201.987000; -0.37; 1.69; 0.48
55546346.761000; -0.37; 1.69; 0.48
55563360.002000; -0.37; 1.69; 0.48
55579934.265000; -0.37; 1.69; 0.48
55594151.735000; -0.37; 1.69; 0.48
55611010.101000; -0.37; 1.69; 0.48
55627829.077000; -0.37; 1.69; 0.48
55642102.814000; -0.37; 1.69; 0.48
55658956.393000; -0.37; 1.69; 0.48
55675840.057000; -0.37; 1.69; 0.48
55690252.363000; -0.37; 1.69; 0.48
55706547.685000; -0.37; 1.69; 0.48
55723341.250000; -0.37; 1.69; 0.48
55739441.336000; -0.37; 1.69; 0.48
55756215.371000; -0.37; 1.69; 0.48
55770288.370000; -0.37; 1.69; 0.48
55786758.195000; -0.37; 1.69; 0.48
55803106.663000; -0.37; 1.69; 0.48
55818201.752000; -0.37; 1.69; 0.48
55835027.243000; -0.37; 1.69; 0.48
55851487.671000; -0.37; 1.69; 0.48
55872516.668000; -0.37; 1.69; 0.48
55882226.370000; -0.37; 1.69; 0.48
55898354.200000; -0.37; 1.69; 0.48
55914713.702000; -0.37; 1.69; 0.48
55930970.745000; -0.37; 1.69; 0.48
55947127.193000; -0.37; 1.69; 0.48
55964076.142000; -0.37; 1.69; 0.48
55978402.165000; -0.37; 1.69; 0.48
55994773.872000; -0.37; 1.69; 0.48
56011589.777000; -0.37; 1.69; 0.48
56026151.305000; -0.37; 1.69; 0.48
56042596.515000; -0.37; 1.69; 0.48
56058170.481000; -0.37; 1.69; 0.48
56075786.324000; -0.37; 1.69; 0.48
56090627.307000; -0.37; 1.69; 0.48
56106662.548000; -0.37; 1.69; 0.48
56123287.752000; -0.37; 1.69; 0.48
56139796.152000; -0.37; 1.69; 0.48
56156022.900000; -0.37; 1.69; 0.48
56172820.078000; -0.37; 1.69; 0.48
56186713.848000; -0.37; 1.69; 0.48
56203981.968000; -0.37; 1.69; 0.48
56218178.703000; -0.37; 1.69; 0.48
56235137.269000; -0.37; 1.69; 0.48
56252955.574000; -0.37; 1.69; 0.48
56266157.599000; -0.37; 1.69; 0.48
56283611.530000; -0.37; 1.69; 0.48
56298260.041000; -0.37; 1.69; 0.48
56319760.428000; -0.37; 1.69; 0.48
56336279.865000; -0.37; 1.69; 0.48
56346167.913000; -0.37; 1.69; 0.48
56363260.340000; -0.37; 1.69; 0.48
56378180.289000; -0.37; 1.69; 0.48
56394135.662000; -0.37; 1.69; 0.48
56411116.529000; -0.37; 1.69; 0.48
56426196.041000; -0.37; 1.69; 0.48
56443601.741000; -0.37; 1.69; 0.48
56462416.040000; -0.37; 1.69; 0.48
56476560.533000; -0.37; 1.69; 0.48
56490219.063000; -0.37; 1.69; 0.48
56507225.019000; -0.37; 1.69; 0.48
56523892.404000; -0.37; 1.69; 0.48
56538376.135000; -0.37; 1.69; 0.48
56555741.877000; -0.37; 1.69; 0.48
56571917.493000; -0.37; 1.69; 0.48
56586241.992000; -0.37; 1.69; 0.48
56604191.773000; -0.37; 1.69; 0.48
56618221.646000; -0.37; 1.69; 0.48
56635229.588000; -0.37; 1.69; 0.48
56652251.592000; -0.37; 1.69; 0.48
56668168.679000; -0.37; 1.69; 0.48
56682148.974000; -0.37; 1.69; 0.48
56699020.335000; -0.37; 1.69; 0.48
56714160.403000; -0.37; 1.69; 0.48
56730247.040000; -0.37; 1.69; 0.48
56747243.835000; -0.37; 1.69; 0.48
56763007.615000; -0.37; 1.69; 0.48
56781428.061000; -0.37; 1.69; 0.48
56794877.091000; -0.37; 1.69; 0.48
56811638.257000; -0.37; 1.69; 0.48
56826173.698000; -0.37; 1.69; 0.48
56843859.495000; -0.37; 1.69; 0.48
56860193.351000; -0.37; 1.69; 0.48
56874464.136000; -0.37; 1.69; 0.48
56890150.198000; -0.37; 1.69; 0.48
56907012.474000; -0.37; 1.69; 0.48
56922162.528000; -0.37; 1.69; 0.48
56938191.287000; -0.37; 1.69; 0.48
56954149.152000; -0.37; 1.69; 0.48
56970519.673000; -0.37; 1.69; 0.48
56987231.431000; -0.37; 1.69; 0.48
57003415.733000; -0.37; 1.69; 0.48
57019697.852000; -0.37; 1.69; 0.48
57034294.956000; -0.37; 1.69; 0.48
57051453.113000; -0.37; 1.69; 0.48
57066110.946000; -0.37; 1.69; 0.48
57082181.746000; -0.37; 1.69; 0.48
57099122.119000; -0.37; 1.69; 0.48
57116652.241000; -0.37; 1.69; 0.48
57131235.606000; -0.37; 1.69; 0.48
57147249.077000; -0.37; 1.69; 0.48
57164962.915000; -0.37; 1.69; 0.48
57178339.735000; -0.37; 1.69; 0.48
57194173.978000; -0.37; 1.69; 0.48
57210414.007000; -0.37; 1.69; 0.48
57226786.397000; -0.37; 1.69; 0.48
57243555.819000; -0.37; 1.69; 0.48
57258139.644000; -0.37; 1.69; 0.48
57274308.488000; -0.37; 1.69; 0.48
57291395.816000; -0.37; 1.69; 0.48
57306150.423000; -0.37; 1.69; 0.48
57323202.334000; -0.37; 1.69; 0.48
57339284.160000; -0.37; 1.69; 0.48
57355404.853000; -0.37; 1.69; 0.48
57371488.133000; -0.37; 1.69; 0.48
57388653.546000; -0.37; 1.69; 0.48
57403235.908000; -0.37; 1.69; 0.48
57418256.344000; -0.37; 1.69; 0.48
57435246.555000; -0.37; 1.69; 0.48
57452488.458000; -0.37; 1.69; 0.48
57466195.678000; -0.37; 1.69; 0.48
57483443.190000; -0.37; 1.69; 0.48
57499880.699000; -0.37; 1.69; 0.48
57514236.439000; -0.37; 1.69; 0.48
57530266.539000; -0.37; 1.69; 0.48
57558118.536000; -0.37; 1.69; 0.48
57565066.662000; -0.37; 1.69; 0.48
57579401.856000; -0.37; 1.69; 0.48
57596187.879000; -0.37; 1.69; 0.48
57610257.335000; -0.37; 1.69; 0.48
57627842.997000; -0.37; 1.69; 0.48
57642161.649000; -0.37; 1.69; 0.48
57658397.818000; -0.37; 1.69; 0.48
57674942.657000; -0.37; 1.69; 0.48
57691265.498000; -0.37; 1.69; 0.48
57706171.172000; -0.37; 1.69; 0.48
57722598.399000; -0.37; 1.69; 0.48
57739013.555000; -0.37; 1.69; 0.48
57756093.965000; -0.37; 1.69; 0.48
57771792.226000; -0.37; 1.69; 0.48
57787896.450000; -0.37; 1.69; 0.48
57803892.392000; -0.37; 1.69; 0.48
57819638.875000; -0.37; 1.69; 0.48
57834165.274000; -0.37; 1.69; 0.48
57850318.795000; -0.37; 1.69; 0.48
57870095.975000; -0.37; 1.69; 0.48
57882219.363000; -0.37; 1.69; 0.48
57898291.653000; -0.37; 1.69; 0.48
57914146.070000; -0.37; 1.69; 0.48
57930212.899000; -0.37; 1.69; 0.48
57947669.686000; -0.37; 1.69; 0.48
57962156.948000; -0.37; 1.69; 0.48
57979449.962000; -0.37; 1.69; 0.48
57996660.000000; -0.37; 1.69; 0.48
58010234.130000; -0.37; 1.69; 0.48
58027078.821000; -0.37; 1.69; 0.48
58043472.551000; -0.37; 1.69; 0.48
58060226.491000; -0.37; 1.69; 0.48
58074416.366000; -0.37; 1.69; 0.48
58091566.215000; -0.37; 1.69; 0.48
58107734.418000; -0.37; 1.69; 0.48
58122197.594000; -0.37; 1.69; 0.48
58138955.455000; -0.37; 1.69; 0.48
58155552.785000; -0.37; 1.69; 0.48
58172738.332000; -0.37; 1.69; 0.48
58186613.801000; -0.37; 1.69; 0.48
58203171.489000; -0.37; 1.69; 0.48
58219497.594000; -0.37; 1.69; 0.48
58235825.188000; -0.37; 1.69; 0.48
58251938.891000; -0.37; 1.69; 0.48
58266475.166000; -0.37; 1.69; 0.48
58283748.904000; -0.37; 1.69; 0.48
58298242.182000; -0.37; 1.69; 0.48
58315901.989000; -0.37; 1.69; 0.48
58330140.088000; -0.37; 1.69; 0.48
58346922.855000; -0.37; 1.69; 0.48
58363586.798000; -0.37; 1.69; 0.48
58378145.164000; -0.37; 1.69; 0.48
58395080.871000; -0.37; 1.69; 0.48
58410300.143000; -0.37; 1.69; 0.48
58428228.272000; -0.37; 1.69; 0.48
58444284.364000; -0.37; 1.69; 0.48
58458286.374000; -0.37; 1.69; 0.48
58475270.954000; -0.37; 1.69; 0.48
58490834.128000; -0.37; 1.69; 0.48
58507852.408000; -0.37; 1.69; 0.48
58522422.062000; -0.37; 1.69; 0.48
58539598.553000; -0.37; 1.69; 0.48
58554276.982000; -0.37; 1.69; 0.48
58572324.335000; -0.37; 1.69; 0.48
58588824.905000; -0.37; 1.69; 0.48
58602147.027000; -0.37; 1.69; 0.48
58618177.154000; -0.37; 1.69; 0.48
58634515.785000; -0.37; 1.69; 0.48
58651173.134000; -0.37; 1.69; 0.48
58667356.565000; -0.37; 1.69; 0.48
58683232.036000; -0.37; 1.69; 0.48
58700431.243000; -0.37; 1.69; 0.48
58714299.036000; -0.37; 1.69; 0.48
58731523.287000; -0.37; 1.69; 0.48
58748156.121000; -0.37; 1.69; 0.48
58762125.449000; -0.37; 1.69; 0.48
58778528.949000; -0.37; 1.69; 0.48
58803140.298000; -0.37; 1.69; 0.48
58810151.869000; -0.37; 1.69; 0.48
58827241.028000; -0.37; 1.69; 0.48
58845177.970000; -0.37; 1.69; 0.48
58858174.358000; -0.37; 1.69; 0.48
58874251.406000; -0.37; 1.69; 0.48
58890712.523000; -0.37; 1.69; 0.48
58907474.960000; -0.37; 1.69; 0.48
58922129.523000; -0.37; 1.69; 0.48
58939190.251000; -0.37; 1.69; 0.48
58955615.518000; -0.37; 1.69; 0.48
58971405.202000; -0.37; 1.69; 0.48
58986258.927000; -0.37; 1.69; 0.48
59002553.532000; -0.37; 1.69; 0.48
59019224.815000; -0.37; 1.69; 0.48
59068712.802000; -0.37; 1.69; 0.48
59071737.912000; -0.37; 1.69; 0.48
59082756.114000; -0.37; 1.69; 0.48
59098834.103000; -0.37; 1.69; 0.48
59115111.353000; -0.37; 1.69; 0.48
59130881.866000; -0.37; 1.69; 0.48
59147297.365000; -0.37; 1.69; 0.48
59163851.300000; -0.37; 1.69; 0.48
59180105.565000; -0.37; 1.69; 0.48
